sep=,
Time,x-Position,y-Position,Collision,SplitTimes
19.14,357,-21,,
19.16,358,-18,,
19.18,360,-14,,
19.2,362,-10,,
19.22,365,-3,,
19.24,367,1,,
19.26,369,4,,
19.28,370,8,,
19.3,372,12,,
19.32,374,16,,
19.34,378,23,,
19.36,379,27,,
19.38,381,31,,
19.4,382,35,,
19.42,384,39,,
19.44,388,47,,
19.46,389,51,,
19.48,391,55,,
19.5,392,59,,
19.52,394,63,,
19.54,398,72,,
19.56,399,76,,
19.58,401,80,,
19.6,402,84,,
19.62,404,89,,
19.64,405,92,Wall_415_102,
19.66,404,101,,
19.68,406,106,,
19.7,407,110,,
19.72,408,114,,
19.74,410,119,,
19.76,414,127,,
19.78,416,132,,
19.8,418,136,,
19.82,420,140,,
19.84,421,145,,
19.86,423,149,,
19.88,431,156,Wall_584_209,
19.9,439,157,,
19.92,444,160,,
19.94,449,162,,
19.96,455,165,,
19.98,468,170,,
20,475,172,,
20.02,482,175,,
20.04,489,178,,
20.06,496,180,,
20.08,509,186,,
20.1,517,188,,
20.12,524,190,,
20.14,530,193,,
20.16,537,195,,
20.18,544,198,,
20.2,555,203,,
20.22,563,205,,
20.24,571,208,,
20.26,577,210,,
20.28,584,212,,
20.3,586,213,Wall_666_250,
20.32,586,213,,
20.34,586,213,,
20.36,586,213,,
20.38,586,213,,
20.4,586,213,,
20.42,586,213,,
20.44,587,213,,
20.46,587,213,,
20.48,587,213,,
20.5,587,213,,
20.52,586,213,,
20.54,586,213,,
20.56,587,213,,
20.58,587,213,,
20.6,587,213,,
20.62,586,213,,
20.64,587,213,,
20.66,587,212,,
20.68,586,213,,
20.7,587,213,,
20.72,586,213,,
20.74,587,213,,
20.76,588,212,,
20.78,587,212,,
20.8,587,213,,
20.82,588,212,,
20.84,586,213,,
20.86,588,212,,
20.88,587,212,,
20.9,587,212,,
20.92,588,212,,
20.94,586,213,,
20.96,588,212,,
20.98,588,212,,
21,588,212,,
21.02,588,212,,
21.04,588,212,,
21.06,588,212,,
21.08,587,212,,
21.1,588,212,,
21.12,588,212,,
21.14,589,212,,
21.16,588,212,,
21.18,588,212,,
21.2,589,212,,
21.22,588,212,,
21.24,589,212,,
21.26,589,212,,
21.28,588,212,,
21.3,589,212,,
21.32,589,212,,
21.34,589,212,,
21.36,588,212,,
21.38,589,212,,
21.4,588,212,,
21.42,589,212,,
21.44,589,212,,
21.46,589,212,,
21.48,589,212,,
21.5,589,212,,
21.52,589,211,,
21.54,589,211,,
21.56,589,211,,
21.58,589,211,,
21.6,589,211,,
21.62,590,211,,
21.64,590,211,,
21.66,590,210,,
21.68,591,210,Wall_666_250,
21.7,592,210,Wall_666_250,
21.72,594,210,Wall_666_250,
21.74,594,209,Wall_666_250,
21.76,595,209,Wall_666_250,
21.78,595,208,,
21.8,596,208,,
21.82,599,208,,
21.84,599,207,,
21.86,600,207,,
21.88,601,206,,
21.9,602,206,,
21.92,603,205,,
21.94,607,205,,
21.96,607,204,,
21.98,608,203,,
22,610,203,,
22.02,611,202,,
22.04,615,202,,
22.06,615,201,,
22.08,617,200,,
22.1,618,199,,
22.12,620,199,,
22.14,625,198,,
22.16,626,197,,
22.18,627,196,,
22.2,629,195,,
22.22,631,194,,
22.24,633,194,,
22.26,638,193,,
22.28,639,191,,
22.3,641,191,,
22.32,643,190,,
22.34,645,189,,
22.36,651,188,,
22.38,652,186,,
22.4,654,185,,
22.42,656,185,,
22.44,659,184,,
22.46,665,183,,
22.48,666,181,,
22.5,669,180,,
22.52,671,179,,
22.54,674,178,,
22.56,676,177,,
22.58,684,176,,
22.6,685,174,,
22.62,687,173,,
22.64,690,171,,
22.66,693,170,,
22.68,701,169,,
22.7,702,167,,
22.72,705,166,,
22.74,708,165,,
22.76,711,163,,
22.78,719,162,,
22.8,720,160,,
22.82,723,159,,
22.84,727,157,,
22.86,730,156,,
22.88,733,155,Wall_893_93,
22.9,741,153,,
22.92,743,151,,
22.94,747,150,,
22.96,750,148,,
22.98,755,147,,
23,763,144,,
23.02,765,142,,
23.04,769,141,,
23.06,772,139,,
23.08,776,138,,
23.1,779,136,,
23.12,788,134,,
23.14,791,132,,
23.16,794,131,,
23.18,797,129,,
23.2,801,128,,
23.22,809,125,,
23.24,812,123,,
23.26,815,122,,
23.28,818,120,,
23.3,822,119,,
23.32,829,116,,
23.34,832,114,,
23.36,836,112,,
23.38,839,111,,
23.4,842,109,,
23.42,850,107,,
23.44,853,105,,
23.46,856,103,,
23.48,859,102,,
23.5,862,100,,
23.52,865,98,,
23.54,872,95,,
23.56,875,93,,
23.58,878,91,,
23.6,880,89,,
23.62,883,88,,
23.64,890,84,,
23.66,892,82,,
23.68,895,80,,
23.7,897,78,,
23.72,900,76,,
23.74,906,73,,
23.76,908,70,,
23.78,911,68,,
23.8,913,66,,
23.82,915,64,,
23.84,917,62,,
23.86,922,58,,
23.88,924,56,,
23.9,926,54,,
23.92,928,52,,
23.94,930,49,,
23.96,935,45,,
23.98,936,43,,
24,938,41,,
24.02,939,38,,
24.04,942,37,Wall_1000_00,
24.06,948,35,,
24.08,952,36,,
24.1,956,35,,
24.12,960,35,,
24.14,962,35,,
24.16,965,35,,
24.18,969,35,,
24.2,972,35,,
24.22,974,35,,
24.24,976,35,,
24.26,978,35,,
24.28,981,35,,
24.3,983,35,,
24.32,985,35,,
24.34,987,35,,
24.36,989,35,,
24.38,991,35,,
24.4,993,35,,
24.42,994,35,,
24.44,995,35,,
24.46,997,35,,
24.48,998,35,,
24.5,999,35,,
24.52,1000,35,,
24.54,1001,35,,
24.56,1002,35,,
24.58,1002,35,,
24.6,1003,35,,
24.62,1003,35,,
24.64,1003,35,,
24.66,1003,35,,
24.68,1003,35,,
24.7,1002,35,,
24.72,1002,35,,
24.74,1001,35,,
24.76,1000,35,,
24.78,999,35,,
24.8,999,35,,
24.82,997,35,,
24.84,995,35,,
24.86,994,35,,
24.88,992,35,,
24.9,991,35,,
24.92,988,35,,
24.94,986,35,,
24.96,985,35,,
24.98,983,35,,
25,981,35,,
25.02,979,35,,
25.04,976,35,,
25.06,973,35,,
25.08,971,35,,
25.1,969,35,,
25.12,966,35,,
25.14,962,35,,
25.16,959,35,,
25.18,956,35,,
25.2,954,35,,
25.22,951,35,,
25.24,946,35,,
25.26,942,35,,
25.28,939,35,,
25.3,936,35,,
25.32,933,35,,
25.34,930,35,,
25.36,924,35,,
25.38,920,35,,
25.4,917,35,,
25.42,913,35,,
25.44,909,35,,
25.46,902,34,,
25.48,897,33,,
25.5,894,31,,
25.52,891,30,,
25.54,888,29,,
25.56,881,26,,
25.58,878,24,,
25.6,874,23,,
25.62,871,21,,
25.64,868,20,,
25.66,864,18,,
25.68,857,15,,
25.7,853,13,,
25.72,850,12,,
25.74,846,10,,
25.76,843,9,,
25.78,836,5,,
25.8,832,4,,
25.82,828,2,,
25.84,825,1,,
25.86,821,-1,,
25.88,814,-4,,Cube (1)
25.9,810,-5,,Cube (1)
