sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony
18.94,159,235,,0,0
18.96,161,236,,0,0
18.98,163,236,,0,0
19,166,237,,0,0
19.02,168,238,,0,0
19.04,170,239,,0,0
19.06,171,240,,0,0
19.08,173,240,,0,0
19.1,175,241,,0,0
19.12,178,242,,0,0
19.14,180,243,,0,0
19.16,182,244,,0,0
19.18,184,245,,0,0
19.2,186,246,,0,0
19.22,188,247,,0,0
19.24,192,248,,0,0
19.26,194,249,,0,0
19.28,196,250,,0,0
19.3,198,251,,0,0
19.32,200,252,,0,0
19.34,202,254,,0,0
19.36,205,255,,0,0
19.38,207,256,,0,0
19.4,209,257,,0,0
19.42,211,259,,0,0
19.44,213,260,,0,0
19.46,218,262,,0,0
19.48,220,263,,0,0
19.5,222,264,,0,0
19.52,224,265,,0,0
19.54,226,267,,0,0
19.56,230,269,,0,0
19.58,232,270,,0,0
19.6,235,271,,0,0
19.62,237,273,,0,0
19.64,239,274,,0,0
19.66,241,276,,0,0
19.68,245,278,,0,0
19.7,248,280,,0,0
19.72,250,281,,0,0
19.74,252,283,,0,0
19.76,254,284,,0,0
19.78,259,287,,0,0
19.8,261,288,,0,0
19.82,263,290,,0,0
19.84,266,292,,0,0
19.86,268,293,,0,0
19.88,273,296,,0,0
19.9,275,298,,0,0
19.92,277,299,,0,0
19.94,280,301,,0,0
19.96,282,303,,0,0
19.98,284,305,,0,0
20,289,308,,0,0
20.02,292,310,,0,0
20.04,294,312,,0,0
20.06,297,313,,0,0
20.08,299,315,,0,0
20.1,304,319,,0,0
20.12,306,321,,0,0
20.14,309,323,,0,0
20.16,311,325,,0,0
20.18,314,327,,0,0
20.2,319,330,,0,0
20.22,322,332,,0,0
20.24,324,334,,0,0
20.26,327,336,,0,0
20.28,329,339,,0,0
20.3,332,341,,0,0
20.32,337,345,,0,0
20.34,339,347,,0,0
20.36,342,349,,0,0
20.38,345,351,,0,0
20.4,347,354,,0,0
20.42,352,358,,0,0
20.44,355,360,,0,0
20.46,358,362,,0,0
20.48,360,365,,0,0
20.5,363,367,,0,0
20.52,368,371,,0,0
20.54,371,374,,0,0
20.56,374,376,,0,0
20.58,376,379,,0,0
20.6,379,381,,0,0
20.62,382,384,,0,0
20.64,387,388,,0,0
20.66,390,391,,0,0
20.68,393,394,,0,0
20.7,397,397,,346,391
20.72,400,400,,0,0
20.74,407,405,,0,0
20.76,411,408,,0,0
20.78,414,411,,0,0
20.8,418,414,,0,0
20.82,422,418,,0,0
20.84,426,422,,465,405
20.86,424,424,,0,0
20.88,424,426,,0,0
20.9,424,428,,430,436
20.92,425,431,,0,0
20.94,426,434,,0,0
20.96,430,439,,0,0
20.98,432,441,,0,0
21,434,443,,0,0
21.02,435,445,,0,0
21.04,437,448,,0,0
21.06,442,452,,0,0
21.08,444,454,,0,0
21.1,446,456,,0,0
21.12,448,458,,0,0
21.14,450,461,,0,0
21.16,452,463,,0,0
21.18,457,467,,0,0
21.2,459,469,,0,0
21.22,461,472,,0,0
21.24,463,474,,0,0
21.26,465,476,,0,0
